document_id,Review text,Sentiment
70,"october sky is a skillfully crafted film , and most of that credit must go to director joe johnston .",positive
71,johnston -- whose career in the film industry includes everything from directing well-known titles like jumanji and the rocketeer down to an uncredited role as a death star trooper in star wars -- certainly knows what he's doing here .,positive
72,he molds characters which are true to life and also fun to watch into a plot that is straightforward and robust .,positive
73,"he does not push any barriers , but instead adopts a conservative style of filmmaking which enhances the film's charm .",positive
74,"his finesse brings out elements which might otherwise be lost -- such as the relationships between homer and various mine workers , or the silent struggle between homer's mother and father .",positive
75,"the cast is well chosen , although the true bright spots are the supporting roles .",positive
76,"laura dern ( jurassic park ) lends a strong performance in the role of the history teacher , giving the boys the support and guidance they need .",positive
77,her role is instantly likeable .,positive
78,"chris cooper ( the horse whisperer ) , as homer's father , is less likeable -- even downright despicable at times -- but his turn here gives gravity to the movie .",positive
79,"he's definitely a driving force in homer's life , and his more humane moments give the piece a certain dynamic that is commendable .",positive
80,"the script is generally cheerful , projecting the boys' endeavors in a lighthearted manner .",positive
81,there are moments when it becomes predictable -- such as the train tracks scene -- and there are moments when it sacrifices orginality for the need to come up with an emotional plot twist .,positive
82,"it highlights the essence of youth , however , and for its exceptional job at this it can be forgiven other missteps .",positive
83,october sky should be a success with audiences .,positive
84,"although it doesn't have the appeal of current teen flicks like varsity blues or she's all that , it certainly holds an undeniable quality that older crowds will lean towards .",positive
85,"it's a welcome change to the dramatic genre , and one that everyone should see .",positive
86,a big surprise to me .,positive
87,"the good trailer had hinted that they pulled the impossible off , but making a blues brothers movie without jake blues ( john belushi ) is such a dumb idea i really had no hope .",positive
88,they replaced him just fine .,positive
89,"not with john goodman , he didn't do much of anything , but with the brilliant actor joe morton , who can really sing .",positive
90,"the fourth blues brother is j evan bonifant , who's ten .",positive
91,"this was another of my fears for the film , but he's a really good dancer , and plays a mean harmonica ( although he may have been dubbed ) .",positive
92,"things that intellectually had bothered me before , like no mission from god , everyone being richer , it not being filmed in chicago -- gave me no problems at all .",positive
93,"i'm quite pleased that there were less car pile-ups , because they meant less music , and john landis seems to have lost interest in the whole thing .",positive
94,"there's a few early crashes , and then one huge pile-up , but after that it all stops .",positive
95,it's just the music .,positive
96,"one of my problems with the first is that cab calloway's song is so good the actually blues brothers look dull after him , but there's no problems with this .",positive
97,"the music is all as good as ever , tons of great musicians showing up -- with the exception of johnny lang , who can't sing , all the musicians do a great job .",positive
98,the only real problems i had was the special effects .,positive
99,these were superfluous and a waste of money .,positive
100,"since the film isn't doing very well , they could mean we have no possibility of another sequel , which i want to see .",positive
101,the bluegrass version of riders in the sky is even better than rawhide .,positive
102,-- http : //www . geocities . com/hollywood/academy/8034/,positive
103,remove no spam to reply .,positive
104,""" drive carefully but recklessly "" , mama , child's toy "" the only excercise i take is walking behind the coffins of friends who took exercise . """,positive
105,peter o'toole,positive
106,"after having heard so many critics describe "" return to me "" as an old-fashioned hollywood romance , i kept asking myself going into this movie : what exactly is an old-fashioned hollywood romance ?",positive
107,"what made "" return to me "" old-fashioned and old-hollywood ?",positive
108,"was it the tunes from sinatra , etc . , legendary singers the senior citizens in the film constantly harp on ?",positive
109,"was it the glamorous , sophisticated feel ?",positive
110,the charisma of the two leads ?,positive
111,"even now i can't say that i have gotten any closer to the real answer , because i haven't see that many old-fashioned hollywood romances .",positive
112,i don't think any of the romances i've seen have been classified as such .,positive
113,"which leaves me the option of vaguely agreeing with my fellow critics -- "" return to me "" was old-fashioned in the sense that it reminded me of the way the younger generation perceive venerated old hollywood magic , the way i perceive cinnamon spice and apple cider .",positive
114,"it was traditional , magical .",positive
115,"we knew it couldn't be too daring , or have any surprising plot twists that many cynical modern romances are apt to throw in .",positive
116,"it was a romance told with such endearing simplicity , tenderness , and love ( from director bonnie hunt ) that it couldn't help but sparkle with charm despite its shortcomings .",positive
117,the film owes a lot of what it has to bonnie hunt's direction .,positive
118,"from the very first bird's eye view of chicago , zooming in slowly toward the insignificant bob rueland ( david duchovny ) , accompanied by the "" return to me "" ballad ( by whom ? ) , we can tell we're in for something sweet .",positive
119,"the scenes between the characters are endearing , truthful , with just a hint of fantasy .",positive
120,real people don't act that way ; real people aren't that nice .,positive
121,"we know all this , and yet we want to believe in these folks' existence .",positive
122,"the premise itself seems to have sprung out of a fairytale , but hunt's rooting the fairytale in common chicago folk simultaneously lends credit to the scenario and tinges everyday urban life with a hint of the ethereal .",positive
123,everything is ordinary--yet beautiful--in this film .,positive
124,>from the festive little family restaurant to grace ( minnie driver ) and bob's wardrobes .,positive
125,"from the eloquent , not-in-a-hurry to progress storyline to the dainty watercolors that grace paints .",positive
126,from the animal stars to the way all the characters interact on screen -- the most beautiful part .,positive
127,""" return to me "" has done an excellent job of assembling together a group of actors who blend in effortlessly as a family : the audience has no trouble at all believing that this rambunctious family actually does exist .",positive
128,"we care for them , laugh with them , cry with them ; we're concerned that the little boy will pick up cursing from his father .",positive
129,"whatever hunt did , she brought out the naturalism in all of the actors .",positive
130,"disappointingly , david alan grier's charlie , however much i like him , was the most flatly-written .",positive
131,duchovny here does a laudable job of shaking off his fox mulder persona -- with the help of his fellow co-stars rarely do we see any hint of special agent fox mulder .,positive
132,"instead we have a normal guy who when he falls in love shows more delight than fox mulder will show over the span of an entire season of "" the x-files . """,positive
133,"duchovny , who is excellent at understatement and self-deprecation as an actor showcases his considerable comedic talent on screen .",positive
134,"minnie driver is engaging as always as the sweet , innocent grace with nothing but a good heart to offer .",positive
135,"though an unlikely pair , duchovny and driver gradually warm up to each other as the movie progresses .",positive
136,"while "" return to me "" functions remarkably as a laugh-out-loud comedy , a romantic scenic tour through chicago , and a tearjerker , the story is set up so the film ends up having nowhere to develop .",positive
137,the entire climax of the film hinges on when and how grace is going to tell bob that she actually was the recipient of his wife's heart .,positive
138,"we already know that there's going to be a happy ending ; we feel like we spend the entire film , however enjoyably , in a straight line going towards that point .",positive
139,"as a result bob and grace click almost too quickly--yes , i know she's supposed to have his ex-wife's heart and everything--it seems too effortless .",positive
140,"the main subject is a love story , and the family scenes i love so much unfortunately are overused and distract from the turmoil of the two main characters ( whose story might not have that much meat after all ) .",positive
141,"however , in the spirit of "" return to me , "" it won't do to be too picky about how "" old "" hollywood tells its stories .",positive
142,i loved knowing that this was a labor of love for bonnie hunt .,positive
143,it shows .,positive
144,"the bottom line : "" return to me "" is nothing remarkable , and yet its sweetness , sincerity , and charm might touch your heart in ways that you hadn't imagined .",positive
145,"wild things is a suspenseful thriller starring matt dillon , denise richards , and neve campbell that deals with all the issues ; sex , love , murder , and betrayal .",positive
146,the setting of the film is a town named blue bay .,positive
147,"it consists of many swamps and slums and , on the other hand , rich estates owned by the town's different benefactors .",positive
148,"the film opens just before the beginning of a senior seminar at the town's ritzy , expensive high school .",positive
149,it is here that we meet all of the core characters .,positive
150,"there's guidance counselor sam lombardo , police officers ray duquette and gloria perez , dark mysterious senior suzie toller , and the popular head cheerleader kelly van ryan .",positive
151,"we first see that all of the senior girls are smitten with the handsome guidance counselor , but none more than kelly .",positive
152,throughout the first portion of the film we see how far kelly will go to get sam until she accuses him of rape .,positive
153,"shortly after , suzie , too , confesses that sam raped her as well .",positive
154,"this pushes kelly's sex craving mother , sandra , to stop at nothing until sam is convicted .",positive
155,"during the trial , kelly gives a teary confession of how sam raped her .",positive
156,"however , it is later revealed by suzie that sam never raped either of the girls , it was all a vengeful plan against the guidance counselor .",positive
157,"after sam is cleared , kelly's mother pays sam a very substantial amount of cash in order for him not to sue her .",positive
158,"it is then revealed that sam , kelly , and suzie were all in on it together .",positive
159,it is here that the film starts to reveal just who is being honest with each other and who has their own hidden agenda .,positive
160,matt dillon stars as sam lombardo .,positive
161,"sam is the kind of guy that every woman would like to sink their claws into , and sam obviously knows it and uses it to his own advantage .",positive
162,"he isn't the obvious best of actors , but dillon does give a convincing performance .",positive
163,"however , his talents seem to be rendered useless near the end of the film , making it look as though his character has lost all of his ethics and principles , although he never had many to start out with in the first place .",positive
164,"neve campbell , who most people relate to scream and scream 2 , plays blue bay outcast suzie toller .",positive
165,suzie obviously has some serious issues to deal with which are obvious from her first scene in the film .,positive
166,"campbell is very successful with this character , adding the slightest bit of charm to a seemingly repulsive character and making her fun to watch .",positive
167,playing kelly van ryan is denise richards .,positive
168,"kelly is your typical , rich , sexy , head cheerleader who thinks she can have any man she choses , like her sexpot mother sandra .",positive
169,one of the most interesting things about this film is how it compares and contrasts the relationship between kelly and her mother .,positive
170,"denise richards , still hot off the press from starship troopers , gives the most interesting performance in the entire film .",positive
171,"in the beginning , kelly looks to be a paper thin character , but richards adds a little more spice and ultimately makes the character not only sexy , but dominating as well .",positive
172,kevin bacon gives one of his fair performances as ray duquette .,positive
173,"this character looks to be one of the most boring , predictable in the film .",positive
174,"however , it is a relationship revealed between him and suzie that adds depth to his story .",positive
175,"still , the film doesn't seem to gain much from bacon's performance , only his name .",positive
176,"in the supporting cast , theresa russell plays the much oversexed sandra van ryan , daphne rubin-vega gives an unappealing performance as cop gloria perez , and bill murray shines as sam's lawyer , ken bowden .",positive
177,hats off to murray for adding the perfect touch of comedy to the film .,positive
178,"although wild things was displayed by the press as being an erotic thriller , the eroticism , which is portrayed with good taste , is kept to a minimum and focuses more on the plot and the relationships between the characters .",positive
179,this is truly a very good film worth seeing if your looking for a movie with a thick plot filled with it's share of twists .,positive
180,* * * * * * minor plot spoilers in review * * * * * * * * * * * * no major spoilers are in review * * * * * *,positive
181,"the previous two "" alien "" films have each had their own unique styles to them .",positive
182,the ridley scott's alien was very much a stylistic suspense film .,positive
183,james cameron's aliens was much more of an action film .,positive
184,and i liked each film separately for which it was .,positive
185,now alien 3 is out .,positive
186,and it is it's own film in the same right that alien and aliens were .,positive
187,"unlike aliens , alien 3 requires that you have seen aliens .",positive
188,this is very important as the story picks up exactly were aliens left off .,positive
189,the survivors of the expedition to lv-426 are returning home after battling and beating the aliens .,positive
190,"the climactic fight scene between ripley and the mother alien on the sulaco in aliens left behind one item , an egg .",positive
191,"in the opening sequence we see the egg hatch , find its quarry , which leads to a fire aboard the sulaco when the facehugger is injured , an leads the sulaco to jettison the hypersleep tubes in an escape vessel .",positive
192,this vessel crash lands on fury 109 .,positive
193,"everyone in the vessel is killed , except ripley .",positive
194,the facehugger is jettisoned with them and survives the crash .,positive
195,fury 109 is an ex-mining/maximum security prison .,positive
196,"when closed down , some of the lifer prisoners decided to stay and live out the remaining years on the planet .",positive
197,all the prisoners are men who have not seen a woman in many years .,positive
198,ripley's arrival sparks a problem with the inmates .,positive
199,"as for the new haircut that ripley and the prisoner's sport , there is an infestation of lice on the planet .",positive
200,being an ex-prison means that there is no way off the planet and no weapons .,positive
201,so the prisoners and ripley are off to face the alien on their own .,positive
202,"i will not go into detail , but you can guess what happens here .",positive
203,the alien is loose and no one believes ripley's outstanding story .,positive
204,she finds comfort in the arms of the colony's doctor .,positive
205,"yes , after 57 years ripley has sex .",positive
206,"it is not gratuitous , in fact , we don't even see them kiss , but it is just as well .",positive
207,a sweaty sex scene would not have worked in the context of the film .,positive
208,there is a lot more gore in alien 3 .,positive
209,in fact i would guess to say that there is more in alien 3 than either of the earlier two .,positive
210,it also sports a new alien with 4 legs !,positive
211,"i won't say how , but it leads us to believe a few new things about the alien and its cycle , which i am sure will be explored in alien 4 .",positive
212,sigourney weaver is back as ripley and provides another excellent performance of this character .,positive
213,her scene during the autopsy of newt is enough to garnish her another academy nomination .,positive
214,the rest of the cast is also quite good .,positive
215,"notably , charles dance as the doctor with whom ripley finds momentary escape from fury 109 .",positive
216,alien 3 has a very distinct look .,positive
217,"this is due largely to its director , david fincher .",positive
218,"mr . fincher , who until now has only directed music videos and commercials , has done an incredible job here .",positive
219,"his direction is excellent and makes this film come to life in ways no "" alien "" film has before .",positive
220,"for mr . fincher , i see a long prosperous career ahead of him .",positive
221,the music was also done by a newcomer to the film industry .,positive
222,"elliot goldenthal has created a deeply moving score which lends itself to the claustrophobic setting that the "" alien "" series been set in .",positive
223,this time the score is not so much a rip off of star trek ii ( james horner's aliens ) .,positive
224,this score has a choral back up at times and even lends itself to the old style of ennio morricone scoring .,positive
225,this is a great score .,positive
226,the ending to alien 3 is quite good .,positive
227,"there were times i thought that hollywood would come in and screw it up , but it played very nicely .",positive
228,i will not ruin the ending for you .,positive
229,go see the film .,positive
230,i consider it to be a much more involved film than any of the other films released so far this season .,positive
231,alien 3 is a worthy successor to aliens and alien .,positive
232,"and when they make alien 4 , perhaps they will be able to find yet another new direction to take it in .",positive
233,are you tired of all the hot new releases being gone by the time you get to the video store ?,positive
234,wafflemovies . com is dedicated to finding those hidden gems that lie on the shelves .,positive
235,"everyweek , wafflemovies . com",positive
236,reviews independent film and big studio pictures that deserve a second chance on video .,positive
237,here is a sample review :,positive
238,welcome to sarajevo,positive
239,"in light of america's recent intervention in kosovo , welcome to sarajevo is a reminder of the horror america and the world ignored for years .",positive
240,"set in sarajevo 1992 and based on actual events , this picture examines the human and societal casualties of war .",positive
241,the picture opens with a family escorting their young bride to her wedding .,positive
242,"as they make their way down the street , a sniper shoots the mother of the bride .",positive
243,yet another reminder that daily life in war torn sarajevo can never escape the horror of war .,positive
244,"in this scene , we meet joe flynn ( woody harrelson ) , an american reporter who stops reporting to help a priest carry the mortally wounded mother into a church .",positive
245,"joe is cocky , but also good at heart as he continues to carry out kind deeds for people he doesn't even know .",positive
246,his fellow reporter is the british michael henderson ( stephen dillane ) .,positive
247,michael is quickly growing tired of the horror that surrounds him and the world's lack of interest .,positive
248,henderson is haunted by the memory of an altar boy who witnesses the mother's death as well as a young girl who he finds orphaned in a hospital after a mortar attack on citizens waiting in line for bread .,positive
249,he decides to take action when a united nations' delegation descends upon the area to declare yugoslavia the fourteenth most dangerous place on earth .,positive
250,henderson begins a series profiling an orphanage located on the front lines .,positive
251,he finds children of all ages living in fear and taking care of each other with the help of one adult .,positive
252,"during his visits , he befriends a pre-teen girl , emira ( emira nuseric ) who serves as surrogate mother to baby roadrunner .",positive
253,he promises to get emira out of harm's way if he gets the chance .,positive
254,"after the un delegation leaves the country without rescuing any of the children , henderson loses hope .",positive
255,"however , his reporting has grabbed the attention of nina ( marisa tomei ) and her children's aid group that helps to find homes for the yugoslavian orphans .",positive
256,"unfortunately , only babies are wanted for adoption , so henderson pledges to take emira to england .",positive
257,"the group of children , nina and henderson depart the front lines on a dangerous escape for italy .",positive
258,can they complete this dangerous trek through the war torn countryside and avoid hostile troops gathering up muslims for concentration camps ?,positive
259,the movie was beautifully and sensitively made .,positive
260,director michael winterbottom and screenwriter frank cottrell boyce vividly express the societal destruction that has occurred .,positive
261,"they show the destroyed lives , families that have been split up , and the desolation that everyone attempts to cope with .",positive
262,"this is best exemplified by the group of yugoslavians henderson , his producer and flynn have befriended .",positive
263,the group of twenty-somethings reside in a bombed out bar without life's simplest pleasures and amenities .,positive
264,one of them is an accomplished musician who spends his days playing the piano and promising to play a concert when sarajevo is declared the most dangerous place on earth .,positive
265,"like the rest of those deeply effected by the war , this small group tries to survive instead of trying to live .",positive
266,winterbottom brilliantly intersplices scenes with actual news footage to give the film the feel of a documentary and keeps the viewer aware that many of these horrors are being carried out thousands of miles away as you sit safely in your living room .,positive
267,the picture is also bolstered by beautiful cinematography that captures the devastation of this city that hosted the 1984 olympics .,positive
268,winterbottom and boyce also produce a realistic portrayal of the reporters covering the atrocities .,positive
269,this portrayal is much more flattering to reporters than earlier wafflemovies . com,positive
270,selection mad city .,positive
271,"we watch them struggle to cover the horror , while trying to remain professionally detached .",positive
272,"however , they are human and question the reason behind it all , why no one cares , and how they can get out .",positive
273,stephen dillane is wonderful as henderson .,positive
274,he portrays the character as an everyman caught in the middle of extraordinary events .,positive
275,dillane avoids making the character overly heroic and preachy .,positive
276,"henderson realizes that he cannot save the world , but he can help a few .",positive
277,it is a wonderful opportunity for dillane after he had to suffer through the denis leary-sandra bullock disaster two if by sea .,positive
278,"woody harrelson continues to prove that he is one of the finest , most versatile actors of his generation .",positive
279,harrelson plays the cocky celebrity reporter with a heart of gold by allowing the character's caring nature and vulnerability shine through .,positive
280,"harrelson is equally adept at taking on roles as zany leading men ( cheers , white men can't jump ) as well as excellent supporting roles such as this one .",positive
281,"this ability will serve him well and give him a long , successful career .",positive
282,america's involvement in this struggle comes seven years after the events of the movie take place .,positive
283,"for those who do not have a full understanding of the history of the conflict , the entire movie , most importantly the opening scenes , provide a history lesson .",positive
284,war is a foreign concept to most of us in america .,positive
285,battles are fought thousands of miles away among people we have no attachment to .,positive
286,televised images of the gulf war are all the experience most of us have with war .,positive
287,"this picture brings it right into your living room and makes you think outside of our own small world , something we don't do enough of in 90's america .",positive
288,many people dislike french films for their lack of closure .,positive
289,"while possibly shallow , i've often had a desire for a sense of epiphany , or at least a resolution , in the films which i view .",positive
290,"there is no revelation in un coeur en hiver in the traditional ; however , the film is incredibly successful in its passionate dramatization of a passion-denying protagonist , stephane ( daniel auteuil ) .",positive
291,stephane ( daniel auteuil ) is a master violin maker .,positive
292,he is passionless about all that which surrounds him except his craft and the music which his craft is responsible for producing .,positive
293,"even the relationship between he and his boss , maxime ( andre dussollier ) is a controlled , and almost manipulated association , highlighted by the fact that stephane permits maxime to win close squash matches .",positive
294,"in the beginning of the movie , stephane is a closed , solitary individual and the audience is carefully left to wonder about the depth of emotion behind this enigmatic man .",positive
295,camille kessler ( emmanuelle beart ) is a master violinist and the new love of maximes .,positive
296,maxime is so much in love with camille that he plans to and does leave his wife .,positive
297,"like stephane , camille is outwardly very controlled and reserved , sacrificing all thought and emotion to her violin and the music which emerges .",positive
298,"when stephane and camille meet , there is a recognition of a bonding by both individuals .",positive
299,"however , whereas camille submits to the wild interplay of emotions which she now feels for stephane , stephane only admits that camille is attracted to him .",positive
300,"stephane ignores his feelings for camille , which the audience cannot help but to see is present .",positive
301,"as the movie progresses , the two characters become more and more polarized in their views and emotions for one another .",positive
302,"these two people , with very similar approaches to life initially , react to their new circumstance very differently .",positive
303,"stephane becomes even more rational and controlled , while camille becomes more tempestuous , until she almost borders on suffering a nervous breakdown due to the inability to consummate their relationship .",positive
304,"however , their approach to each other is perhaps not surprising considering their vocation .",positive
305,"the audience is led to believe that stephane may have been a genius as a violinist as well , due to his relationship with a master violin teacher .",positive
306,"however , apparently , he could not be a violinist due to his intolerance for flaws in his playing .",positive
307,"consequently , stephane becomes a precision craftsmen with the instrument and no longer plays .",positive
308,"in contrast , camille had almost given the violin , years earlier .",positive
309,"however , with the aid of her manager , she has progressed to being almost one of the world's finest , successfully submerging herself to her playing .",positive
310,"during the course of the movie , we see both characters evolve as they struggle to meet the challenge of their new emotions .",positive
311,stephane attempts to remain unchanged .,positive
312,"however , we do see subtle hints of his transformation .",positive
313,one of the most obvious is when he defeats maxime in squash .,positive
314,"the development of all of the characters , many of which is not included in this synopsis , is incredible .",positive
315,"american movies , with rare exceptions , have not and i would daresay cannot approach foreign films in character development .",positive
316,"in its essence , this movie is about the development and growth of the characters , camille and stephane .",positive
317,"the portrayal of all the other characters in the movie , including a death , is to further the development of camille's and stepahne's characters .",positive
318,"i am not sure why berardinelli says , "" at times it becomes difficult to determine whether stephane should be pitied or vilified , and it is to auteuil's credit that he manages to maintain this uncertainty . """,positive
319,"this movie is not about judging stephane's actions as being right or wrong , but about viewing their growth and accepting the characters as who they are .",positive
320,"i find the ending appropriate ; unfortunately , i found the last ten minutes which led up to the final scene to be very unfulfilling .",positive
321,"this portion of the film is where the "" sense of closure "" could have been successfully accomplished .",positive
322,"unfortunately , there is a hurried and almost a soap opera-type surge of emotions from all of the characters .",positive
323,"while ravel may not be quite as accomplished as schubert or mozart , ravel has his day in this film .",positive
324,the synergism of the tension of ravel's music and tension on the screen is the best i have ever seen .,positive
325,the directing in this movie is wonderful .,positive
326,"the actors and actresses are excellent , each playing their part with great sincerity and warmth .",positive
327,emmanuelle beart's personality is beautiful .,positive
328,"and needless to say , i must say that emmanuelle beart , herself , is beautiful .",positive
329,"besides the near ending , the only other criticism of the movie which i have is that the movie is almost too cerebral .",positive
330,i almost left with the sense little happened because almost all the changes which occur in the movie happen in deep in their psyches and little in their personalities or the situations which they end as part of .,positive
331,"the one question which i am left with is while they have accepted their lot , has their attitude towards love changed ?",positive
332,"i have several possibilities which i believe the movie hints at , but i am unsure of which the director is espousing .",positive
333,"in summary , this movie is solely about the character growth of two characters who almost develop a relationship .",positive
334,"in the process , we see their attitude towards life and other people .",positive
335,"in itself , i do not believe un coeur is a complicated movie .",positive
336,"where it does become complicated is when we juxtapose the scenes of the movie into the greater walk of life where we , as americans , have preconceived american notions of relationship , love , and people .",positive
337,i do wonder how the movie translates when viewed within its native french culture .,positive
338,"however , i , bringing my american preconceptions , enjoyed the film .",positive
339,i would welcome any comments about this movie from any who have seen it .,positive
340,"the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . '",positive
341,"the elderly bank robber is henry ( paul newman ) , a famous criminal that was only recently caught .",positive
342,he has pulled off dozens of successful heists and has probably stashed away a small fortune .,positive
343,"always the shrewd thinker , he begins working on a plan to get out of jail .",positive
344,this involves years of studying buddhism and self-hypnosis .,positive
345,"when he is prepared to execute his plan , he uses what he has learned to fake a stroke .",positive
346,"now a seemingly twitching vegetable , he is temporarily transferred to a state-run home .",positive
347,carol ( linda fiorentino ) is the nurse that cares for him .,positive
348,she's a very bright person with a good heart .,positive
349,"yet , her life is a miserable waste of time .",positive
350,the most exciting thing to do in town is to fix cars .,positive
351,her days at the hospital facility are spent leading wheelchair calisthenics .,positive
352,"worse , she's in a dead-end relationship with high-school sweetheart wayne ( dylan mcdermott ) .",positive
353,they became a couple because they were king and queen of the prom .,positive
354,"to her , this made sense long ago .",positive
355,"but now , it's a different story .",positive
356,"wayne seems equally bored with his life , but is content enough to stay put .",positive
357,wayne's greatest ambition is to become a night shift supervising foreman .,positive
