Document_ID,Review,Sentiment
126,i also felt that there was simply too much blood 'n' gore in this film .,negative
127,the first movie worked by never showing us the horror .,negative
128,"the witch was a palpable presence in that movie , but we never saw it ; we never saw anything , in fact .",negative
129,"the horror was all off-screen , and thus our imaginations worked overtime to envision what it might possibly be .",negative
130,this is the hallmark of a truly creepy and disturbing horror movie .,negative
131,blair witch 2 dispensed with such niceties and went straight for the gross-out .,negative
132,"this was evident from the opening scenes of the mad doctors forcing white goo down jeffrey's throat , and continued throughout the film as the audience is treated to occasional confusing and disorienting footage of what appears to be a ritual massacre of some sort .",negative
133,"knives plunge into flesh , bloody fingers trail off into the darkness , and none of it is explained until the very end , when it was too late for me to care .",negative
134,"this movie didn't stop with showing us the gore , either ; it went for broke and showed us everything .",negative
135,"by the end of the movie , there are no questions remaining about the missing five hours .",negative
136,"it is all explained ; in fact , it is all shown on-screen in loving detail .",negative
137,"i confess to being someone who prefers horror movies in which you never see the monster , or see only brief glimpses , mere suggestions of what the monster is ; it is not because i find the monster so terrifying , but because i find the absence of the monster to be infinitely more terrifying .",negative
138,"i have seen interviews with the director in which he suggested that there is no "" monster , "" that all of the evil was perpetrated only by the human mind .",negative
139,"i found this to be a miserably poor explanation ; if it was in fact the director's intent , then he needs to have some words with the writer , because it was not made clear at all .",negative
140,( i know a lot of people who like to go to parties and get drunk and stoned out of their minds ; none of them has ever gone on a murderous rampage and then experienced mass hallucinations with a group of other people for the next week or so .,negative
141,"and if there was no witch , then what about the vanishing tree ?",negative
142,the snowfall of manuscript paper ?,negative
143,hm ? ),negative
144,blair witch 2 : book of shadows was a horrible movie .,negative
145,"from the poorly-written characters to the implausible story to the plot inconsistencies to the gross-out shots , it was a bad effort through and through .",negative
146,i'm giving this stinker .,negative
147,"normally , the worst that i would ever rate a movie would be .",negative
148,"but the total waste of time that is blazing saddles is , compounded by the fact that this movie is incredibly offensive , helped me come to the big goose egg .",negative
149,"i'm not sure what the hell mel brooks was thinking when he made this thing , or if he was even thinking at all .",negative
150,maybe in mel's little mind a horse being knocked unconscious because of a punch to the face is funny .,negative
151,"in mine , it's not .",negative
152,or maybe mel graduated from the spike lee school of filmmaking .,negative
153,because only the self-righteous lee uses the n-word more often in his films than brooks did in this one .,negative
154,at least lee has the smarts to realize that nobody is going to find that term amusing .,negative
155,brooks bandies it about like he figures the audience will be rolling in the aisles every time they hear it .,negative
156,wrong mel !,negative
157,"i would call you a boob mel , but that insults breasts everywhere .",negative
158,this idiotic attempt at a comedy centers on the evil lieutenant governor's ( harvey korman ) attempts to clear out a town so he can buy up the land cheap and sell it to the railroad .,negative
159,he sends his goons to run the townsfolk out .,negative
160,"but the town appeals to the governor ( mel brooks in one of many uninspired , and unfunny roles ) to send them a new sheriff to protect them .",negative
161,the governor pawns the task off to korman's character hedley lamarr .,negative
162,( i can tell you are rolling off your chairs right now just thinking of all the humor in that name . ),negative
163,lamarr decides to send the town a black sheriff ( gasp ) in the hopes that the town will be so disgusted at the prospect of a black man living among them that they will all just leave .,negative
164,"hold on , i've got to stop while these gales of laughter pass .",negative
165,it's just too funny .,negative
166,racism passing as humor -- gosh why didn't anybody ever think of that one before ?,negative
167,"oh wait , i think somebody might have -- they are called the kkk .",negative
168,i'm not calling brooks a racist -- but i am calling him an insensitive bastard who wouldn't know what was funny if it hit him over the head .,negative
169,but i digress .,negative
170,"anyway , the black sheriff rides into town amid a flurry of townsfolk using the n-word .",negative
171,"golly , will the hilarity just never end ?",negative
172,"he ends up joining forces with a drunk ( gene wilder ) , who happens to be the former fastest gun in the west .",negative
173,"together , they save the day from evil .",negative
174,not one person in this movie gives a decent performance .,negative
175,"wilder looks like he is recovering from a head injury for most of the movie , and korman looks embarrassed to be a part of the movie .",negative
176,"ok , he really didn't -- but he should have .",negative
177,the films star cleavon little goes along with the black jokes as if they were discussing the time of day .,negative
178,i did not laugh once during this whole sorry experience .,negative
179,i admit to starting to snicker on a couple of occasions .,negative
180,"actually , the end started to look as if it was going to have some promise , but alas , it ended up being as crappy as the rest of the movie .",negative
181,i can say with full confidence that blazing saddles has no redeeming qualities whatsoever .,negative
182,mel brooks would be doing the world a favor if he burned every last copy of this film .,negative
183,2 days in the valley is more or less a pulp fiction knock off .,negative
184,it basically involves how a bunch of quirky characters in the los angeles area end up having their lives become intertwined in some very unusual ways .,negative
185,"i'm not going into much greater detail than that , since it would take forever to explain , and quite frankly , i'm not willing to spend any more time on it than the 2 hours that i've already wasted .",negative
186,"while it tries very hard to be pulp fiction , 2 days in the valley falls way short .",negative
187,"this is quite a condemnation considering the cast includes danny aiello , james spader and jeff daniels .",negative
188,"while the story isn't much , and the dialogue and characters rate only marginally better , 2 days in the valley does have a couple of bright spots .",negative
189,"james spader's character , while not much better than the rest , is at least fun to watch in a sick sort of way .",negative
190,and we do get to see a nice cat fight between uber babes teri hatcher and charlize theron ( in her first role ) .,negative
191,you know a movie isn't that good when the highlight is a brawl between two women .,negative
192,even if they are both gorgeous .,negative
193,i will give the writers some credit for the fairly clever ways in which they managed to intersect the lives of this group of characters that would have otherwise never interacted .,negative
194,but marveling at that ingenuity is a far cry from actually enjoying the result .,negative
195,"while some of the characters and their respective stories are fairly interesting , they inevitably are brought down as they intersect with the other half of the characters that i really cared absolutely nothing about .",negative
196,"if i were to put a number on it , only about half of the story and half the characters in this movie were particularly interesting or otherwise enjoyable to watch .",negative
197,"this is the sort of movie that only a huge fan of one or more of the cast members should rent , and even then prepare for disappointment .",negative
198,not even charlize theron being naked would get me to sit through this movie again .,negative
199,or at least not all of it anyway .,negative
200,what would inspire someone who cannot write or act to pen and star in a movie ?,negative
201,"a better question , what would inspire a studio to produce said movie ?",negative
202,"if you have an answer , let me know .",negative
203,"foolish , the new movie written by and starring master p is a jaw-droppingly horrible film , one with no redeeming value socially , cinematically or otherwise .",negative
204,"comedically it has some potential , but only in its stand-up comedy moments , which i can turn on comedy central for .",negative
205,master p stars as fifty dollah' ( beat that ! ) as a mobster ( i think ) who is trying to start a comedy club/act with his little brother foolish ( eddie griffin ) .,negative
206,"but the two of them have to deal with an angry mob boss ( played by andrew dice clay , for the very first time entertaining ) , a stubborn club owner and family problems ( the latter in foolish is a perfect example of roger ebert's "" idiot plot , "" if everyone here wasn't an idiot , there would be no problem )",negative
207,so what does foolish have to offer beside a bunch of idiotic character names ?,negative
208,not a hell of a lot .,negative
209,"as i have mentioned , master p cannot act or write .",negative
210,he acts like the rapper that he is .,negative
211,"the occasional despair that his script requires him to exhibit is excruciatingly forced , as are his warm and fuzzy scenes with his little bro .",negative
212,"as for his script -- well , i suppose he delivers what one would expect from a musical artist with no previous screenwriting experience .",negative
213,"if you haven't yet figured it out , that is not saying much .",negative
214,co-star eddie griffin ( really the star of the show ) is quite a different story .,negative
215,"the fact of the matter is that griffin , whose most significant screen outing to date is probably the mildly successful tv show malcolm and eddie on the fledgling upn network , is an extremely talented comedian , stand-up and otherwise .",negative
216,"he has much in common with chris tucker ( rush hour , money talks ) in how quickly and effortlessly his speech flows from his lips .",negative
217,"he spouts profanity with impressive dexterity ( to the extent which that can be done ) , and while i hope that does not become his trademark it works in a few scenes in this movie .",negative
218,"and indeed , i laughed at a few stand-up scenes here , but from a feature-length movie i expect more .",negative
219,foolish provided me with no reason to care for these characters .,negative
220,"every scene which has any potential for dramatic impact is effectively diffused by either a stupid joke ( in a scene where tension escalates between the two brothers , foolish blurts out towards his jewelry-sporting sibling "" you lay one hand on me and this cemetary is going to be a gold rush "" ) or something even more idiotic such as foolish smashing his own car ( to which i said , a bit too loudly for the occasion "" huh ? "" ) after getting slightly upset with his wife .",negative
221,believe me when i say that there is nothing in foolish that warrants parting with your hard-earned $8 .,negative
222,you'll get more laughs from watching 30 minutes of comedy central or any virtually any sitcom if you don't have cable .,negative
223,"eddie griffin fans may enjoy this derivative ( although offensive ) yarn , but everyone else should stay the hell away .",negative
224,&#137 ;,negative
225,synopsis : a novelist struggling with his latest work buys a weird brain with a protruding eyeball encased in a jar .,negative
226,"the brain exerts its evil influence upon the novelist and his secretary , while his wife disapproves .",negative
227,"meanwhile , a loan shark in need of a shave tries to leave his profession .",negative
228,comments : why is this movie called possessed by the night ?,negative
229,it's hard to speculate .,negative
230,"most of this film takes place during the day , and the only thing possessing anyone is an icky , pulsating , bubbling brain thingie in a jar .",negative
231,"in case you haven't picked up on this yet , possessed by the night is a bottom-of-the-barrel "" thriller "" ( i use the term "" thriller "" loosely here ) which is really cheap and bad .",negative
232,"the plot , which sounds like a cheesy pulp science fiction story from the 1950s , actually serves one purpose : to exploit nude women as often as possible .",negative
233,writing a movie review for a film like this proves oddly challenging .,negative
234,there's really not much to say .,negative
235,"the acting is lousy ; although , occasionally , the attempts at acting are so absurd that they garner a chuckle or two from the audience .",negative
236,"most humorous is frank sivero , who plays murray , the novelist's agent .",negative
237,he is so horrible in this role that one can't help but be amused .,negative
238,the plot sucks .,negative
239,"nearly half the film is devoted to a loser loan shark who wants out of the profession , even though he has only limited relevance to the movie as a whole .",negative
240,the dialogue stinks .,negative
241,"a loan shark , for instance , tells another how much he loves bimbos , which is something the audience really doesn't need to know .",negative
242,"everything about possessed by the night is second rate , even the film credits .",negative
243,"as the names of the not-so-talented film crew scrolled by at the end , joseph scales came up , credited as being "" assistsant to foley artist . """,negative
244,someone could have used an editor !,negative
245,"to be honest , the film is basically an excuse to flash frontal nudity and show some sex scenes .",negative
246,"playboy playmate shannon tweed , after all , is the star here .",negative
247,"i suppose that if one wanted this sort of thing , he would like this movie .",negative
248,why did i give this turkey two stars and not one ?,negative
249,"as a bad movie , it is unintentionally funny enough to keep someone passingly interested in the film .",negative
250,"if you feel possessed to see possessed by the night , however , i'd recommend you exorcise this impulse and watch something else .",negative
251,"okay , okay .",negative
252,"maybe i wasn't in the mood to watch a mindless action movie ; i am the same person that liked lethal weapon iii , even while admitting that it wasn't as good as the others .",negative
253,"howewer , the latest segal picture didn't look that bad , and since none of my friends would go see a woody allen movie even if i paid them , i went to see it expecting a mild die hard rehash .",negative
254,"boy , was i wrong !",negative
255,"in the first half of the movie , we are already assaulted with segal's acting , ( he is not simply wooden ; he is like a wall ) , gratuitous violence , an incredible plot , sexist and even more gratuitous nudity , and bad lines that obviously were meant as jokes .",negative
256,"by the end , it is obvious that hundreds of navy men are no match for thirty armed special forces soldiers .",negative
257,"not once in the movie did segal appear worried or undecided , which did not do much for increasing the unexistent suspense .",negative
258,"of course , in movies like these , there must be a sidekick , and a love interest .",negative
259,"in these one we are given a two for one package in the form of a playboy model ( in the movie ) , which only functions as a supposed comic relief ( by the way of extremely stupid unfunny lines ) , and to have watering eyes and look away every time something bad happens in the movie .",negative
260,"oh , of course , she appears naked from the waist up , and , of course , segal kisses her at the end after no development of their relationship ; they did not even seem to be interested in each other .",negative
261,i have never seen so little chemistry between two people in a movie .,negative
262,"often , the villain saves the movie ; unfortunately , the villains here are cartoonish , stupid and unfunny , unmenacing .",negative
263,how many movies have psycho ex-special forces bad guys ?,negative
264,too many .,negative
265,"i was able to predict the action all throughout the movie , including the moment where the sidekick saves the hero from certain death , the scene where the bad guy can kill the hero but proceeds to explain his plan to him , the scene where we are shown the hero's superiors are stupid , the scene where the bad guy loses his gun and has to fight the hero hand to hand , etc . . .",negative
266,"simply said , this is movie-making by the numbers , boring , and potentially offensive in going for the lowest common denominator of the audience .",negative
267,"my recommendation : if you go see it , bring a watch .",negative
268,you'll be looking at it for most of the movie .,negative
269,my .,negative
270,rent die hard .,negative
271,read a book .,negative
272,stare at the sky .,negative
273,do not waste your time on this worthless piece of celluloid .,negative
274,"the real sad thing is that there are a lot of movies out that i would rather have seen ; once again , dragged in by my friends , which by the way , liked the movie halfheartedly .",negative
275,they probably like wrestling too : - ) .,negative
276,"in life , eddie murphy and martin lawrence play two young men wrongfully convicted of murder and sentenced to life in prison .",negative
277,"after about an hour of watching this movie , you begin to realize how their characters feel .",negative
278,"fortunately , for audience members there's a chance to escape the nearest exit .",negative
279,"this , undoubtedly , is eddie murphy's worst movie and that's an accomplishment .",negative
280,"remember the golden child , harlem nights ?",negative
281,"compared to life , they look like citizen kane .",negative
282,"life is long , predictable , foul-mouthed and only intermittently funny .",negative
283,its 100-minute running time feels like 100 years .,negative
284,"robert ramsey and matthew stone's script basically consist of murphy and lawrence referring to everyone around them as "" motherf . . . s "" or "" n . . . . .",negative
285,"s . """,negative
286,"you lose count how many times both those obnoxious , offensive words are used .",negative
287,"and if that all it takes to write a script , than any illiterate jackass can sit at a word processor and compose a movie .",negative
288,"but , like life , it will probably stink .",negative
289,"to be honest , the screening audience surrounding me in the theater yucked it up .",negative
290,but these were the same people who howled at all the flatulence and fat jokes as well .,negative
291,life is as sophisticated as a belch .,negative
292,it's crude and stereotypical .,negative
293,"years ago , movies stereotypically portrayed blacks subservient , second-class people , good for being only maids and servants .",negative
294,"for the most part , the lot of blacks and other racial groups have improved .",negative
295,"but a new , more insidious stereotype is creeping into movies .",negative
296,"in many recent films , through actors such as murphy and chris tuckers , blacks are presented as fast-talking , conniving , scam artists or hip-hop , gun-crazy , sex-crazed youths .",negative
297,both sets of caricatures are demeaning .,negative
298,and the fault does not rest with the actors .,negative
299,"they have to eat , too .",negative
300,"it is with the people who write the scripts , the studios who green-light the projects and the audiences who accept these portrayals without protest .",negative
301,life's only redeeming virtue is the artistry of makeup legend rick baker who flawlessly ages murphy and lawrence into 90 year olds .,negative
302,"otherwise , life is an embarrassment , a blot on the resumes of those associated with it .",negative
303,see it at your own risk .,negative
304,there may not be a critic alive who harbors as much affection for shlock monster movies as i do .,negative
305,i delighted in the sneaky-smart entertainment of ron underwood's big-underground-worm yarn tremors ; i even giggled at last year's critically-savaged big-underwater-snake yarn anaconda .,negative
306,"something about these films causes me to lower my inhibitions and return to the saturday afternoons of my youth , spent in the company of ghidrah , the creature from the black lagoon and the blob .",negative
307,"deep rising , a big-undersea-serpent yarn , doesn't quite pass the test .",negative
308,"sure enough , all the modern monster movie ingredients are in place : a conspicuously multi-ethnic/multi-national collection of bait . . . excuse",negative
309,"me , characters ; an isolated location , here a derelict cruise ship in the south china sea ; some comic relief ; a few cgi-enhanced gross-outs ; and at least one big explosion .",negative
310,"there are too-cheesy-to-be-accidental elements , like a sleazy shipping magnate ( anthony heald ) who also appears to have a doctorate in marine biology , or a slinky international jewel thief ( famke janssen ) whose white cotton tank top hides a heart of gold .",negative
311,"as it happens , deep rising is noteworthy primarily for the mechanical manner in which it spits out all those ingredients .",negative
312,"a terrorist crew , led by squinty-eyed mercenary hanover ( wes studi ) and piloted by squinty-eyed boat captain finnegan ( treat williams ) , shows up to loot the cruise ship ; the sea monsters show up to eat the mercenary crew ; a few survivors make it to the closing credits .",negative
313,and up go the lights .,negative
314,"it's hard to work up much enthusiasm for this sort of joyless film-making , especially when a monster moview should make you laugh every time it makes you scream .",negative
315,"here , the laughs are provided almost entirely by kevin j . o'connor , generally amusing as the crew's fraidy-cat mechanic .",negative
316,"writer/director stephen sommers seems most concerned with creating a tone of action-horror menace -- something over-populated with gore-drenched skeletons , something where the gunfire and special effects are taken a bit too seriously .",negative
317,"deep rising is missing that one unmistakable cue that we're expected to have a ridiculous good time , not hide our eyes .",negative
318,"case it point , comparing deep rising to its recent cousin anaconda .",negative
319,"in deep rising , one of the creature's victims is regurgitated back into view , partially digested and still alive .",negative
320,"he shrieks in horror at his freakish appearance and pain , in a moment a bit too disturbing to be laughable .",negative
321,"in anaconda , we also see a regurgitated victim , partially digested and still alive .",negative
322,he looks at another character . . . and,negative
323,winks .,negative
324,"make no mistake , deep rising has anaconda beat all to heck when it comes to technical proficiency and pacing .",negative
325,"it's also gloomy , uninspired and not nearly enough fun .",negative
326,"i don't ask much of my monster movies , but i do ask that they act like monster movies .",negative
327,"you don't have to show me a fantastically impressive , massive beast with tentacles a-flailing .",negative
328,"just show me the massive beast burping , and i'll figure you get the point .",negative
329,"renee zellweger stars as sonia , a young jewish wife and mother frustrated by the constraints of her hasidic community in brooklyn .",negative
330,"her husband ( glenn fitzgerald ) is a religious scholar whose all-in-a-day's-work attitude on sex fails to tame the "" fire "" she feels within , as so she confesses to the rebbe ( after hearing her fiery confession , the rebbe suddenly gets frisky with his pleasantly surprised wife--and dies the next morning ) .",negative
331,"sensing her frustration , her husband's brother ( christopher eccleston ) gives her a job in his jewelry brokering business in exchange for raw , passionless sex that just fans sonia's still-burning flame .",negative
332,"on the job , sonia befriends ramon ( allen payne ) , a cool blast of hunky puerto rican water who does his own jewelry designs when not working as a grunt in an upscale jewelry store .",negative
333,can fire-taming be far be that far behind for the ever-smoldering sonia ?,negative
334,"just about everything in writer-director boaz yakin's rings false , starting with the improbably cast zellweger , who does an adequate enough acting job but simply looks too waspy for the role .",negative
335,"a better fit would have been julianna margulies , who outshines zellweger as sonia's take-no-crap sister-in-law .",negative
336,"some of sonia's baby steps toward liberation , such as indulging in a non-kosher egg roll in chinatown , come off as silly .",negative
337,yakin attempts to spice up the proceedings with a touch of magical realism--in the form of the recurring presence of sonia's long-dead brother's ghost--make the story feel even more trite than it already is .,negative
338,""" i didn't know what to expect .",negative
339,"it's like something you chase for so long , but then you don't know how to react when you get it .",negative
340,"i still don't know how to react . """,negative
341,"--michael jordan , on winning his first nba championship in 1991 . . . or ,",negative
342,"my thoughts after meeting him on november 21 , 1997",negative
343,there're so many things to criticize about i don't know where to start .,negative
344,"recommendation : turn off your brain - don't be like me , decreasing the rating everyday because i think about it too much .",negative
345,"a comet is about to strike earth , causing a catastrophe similar to the extinction level event ( e . l . e . ) that wiped out the dinosaurs .",negative
346,"what follows is the story of a president's bid to think for the good of his people , a rising reporter , the love story of two teenagers ( one of whom discovered the comet ) , and a team of astronauts on the ship `messiah' to save the world .",negative
